Unnamed: 0,Date,State,Confirmed,Deceased,Recovered,State_Name
2996,-9223372036854775808,TN,0,0,0,Tamil Nadu
2997,-9223372036854775808,TR,0,0,0,Tripura
2998,-9223372036854775808,TT,11,1,1,Total
2999,-9223372036854775808,UN,0,0,0,State Unassigned
3000,-9223372036854775808,UP,2,0,1,Uttar Pradesh
3001,-9223372036854775808,UT,0,0,0,Uttarakhand
3002,-9223372036854775808,WB,1,0,0,West Bengal
3003,-9223372036854775808,AN,0,0,0,Andaman and Nicobar Islands
3004,-9223372036854775808,AP,25,1,103,Andhra Pradesh
3005,-9223372036854775808,AR,0,0,0,Arunachal Pradesh
3006,-9223372036854775808,AS,8,0,1,Assam
3007,-9223372036854775808,BR,142,0,0,Bihar
3008,-9223372036854775808,CH,0,0,0,Chandigarh
3009,-9223372036854775808,CT,18,0,1,Chhattisgarh
3010,-9223372036854775808,DD,0,0,0,Daman and Diu
3011,-9223372036854775808,DL,422,19,276,Delhi
3012,-9223372036854775808,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
3013,-9223372036854775808,GA,9,0,0,Goa
3014,-9223372036854775808,GJ,391,34,191,Gujarat
3015,-9223372036854775808,HP,2,0,1,Himachal Pradesh
3016,-9223372036854775808,HR,23,1,48,Haryana
3017,-9223372036854775808,JH,6,0,0,Jharkhand
3018,-9223372036854775808,JK,62,1,33,Jammu and Kashmir
3019,-9223372036854775808,KA,55,1,13,Karnataka
3020,-9223372036854775808,KL,14,0,0,Kerala
3021,-9223372036854775808,LA,0,0,0,Ladakh
3022,-9223372036854775808,LD,0,0,0,Lakshadweep
3023,-9223372036854775808,MH,2347,63,600,Maharashtra
3024,-9223372036854775808,ML,0,0,0,Meghalaya
3025,-9223372036854775808,MN,0,0,0,Manipur
3026,-9223372036854775808,MP,187,5,88,Madhya Pradesh
3027,-9223372036854775808,MZ,0,0,0,Mizoram
3028,-9223372036854775808,NL,0,0,0,Nagaland
3029,-9223372036854775808,OR,91,1,24,Odisha
3030,-9223372036854775808,PB,18,3,109,Punjab
3031,-9223372036854775808,PY,0,0,0,Puducherry
3032,-9223372036854775808,RJ,242,5,111,Rajasthan
3033,-9223372036854775808,SK,0,0,0,Sikkim
3034,-9223372036854775808,TG,42,0,21,Telangana
3035,-9223372036854775808,TN,639,4,634,Tamil Nadu
3036,-9223372036854775808,TR,-2,0,21,Tripura
3037,-9223372036854775808,TT,5049,152,2538,Total
3038,-9223372036854775808,UN,0,0,0,State Unassigned
3039,-9223372036854775808,UP,206,8,195,Uttar Pradesh
3040,-9223372036854775808,UT,1,0,1,Uttarakhand
3041,-9223372036854775808,WB,101,6,67,West Bengal
3042,-9223372036854775808,AN,2,0,0,Andaman and Nicobar Islands
3043,-9223372036854775808,AP,31,2,7,Andhra Pradesh
3044,-9223372036854775808,AR,0,0,0,Arunachal Pradesh
3045,-9223372036854775808,AS,0,0,3,Assam
3046,-9223372036854775808,BR,1,1,5,Bihar
3047,-9223372036854775808,CH,2,0,0,Chandigarh
3048,-9223372036854775808,CT,0,0,1,Chhattisgarh
3049,-9223372036854775808,DD,0,0,0,Daman and Diu
3050,-9223372036854775808,DL,186,1,135,Delhi
3051,-9223372036854775808,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
3052,-9223372036854775808,GA,0,0,0,Goa
3053,-9223372036854775808,GJ,277,12,7,Gujarat
3054,-9223372036854775808,HP,1,0,0,Himachal Pradesh
3055,-9223372036854775808,HR,9,0,14,Haryana
3056,-9223372036854775808,JH,1,0,0,Jharkhand
3057,-9223372036854775808,JK,13,0,9,Jammu and Kashmir
3058,-9223372036854775808,KA,25,1,16,Karnataka
3059,-9223372036854775808,KL,4,0,2,Kerala
3060,-9223372036854775808,LA,0,0,0,Ladakh
3061,-9223372036854775808,LD,0,0,0,Lakshadweep
3062,-9223372036854775808,MH,327,10,34,Maharashtra
3063,-9223372036854775808,ML,2,0,0,Meghalaya
3064,-9223372036854775808,MN,0,0,0,Manipur
3065,-9223372036854775808,MP,92,0,57,Madhya Pradesh
3066,-9223372036854775808,MZ,0,0,0,Mizoram
3067,-9223372036854775808,NL,0,0,0,Nagaland
3068,-9223372036854775808,OR,1,0,3,Odisha
3069,-9223372036854775808,PB,23,2,1,Punjab
3070,-9223372036854775808,PY,0,0,3,Puducherry
3071,-9223372036854775808,RJ,122,4,17,Rajasthan
3072,-9223372036854775808,SK,0,0,0,Sikkim
3073,-9223372036854775808,TG,43,0,0,Telangana
3074,-9223372036854775808,TN,49,0,82,Tamil Nadu
3075,-9223372036854775808,TR,0,0,0,Tripura
3076,-9223372036854775808,TT,1371,35,426,Total
3077,-9223372036854775808,UN,0,0,0,State Unassigned
3078,-9223372036854775808,UP,126,0,26,Uttar Pradesh
3079,-9223372036854775808,UT,2,0,0,Uttarakhand
3080,-9223372036854775808,WB,32,2,4,West Bengal
3081,-9223372036854775808,AN,4,0,3,Andaman and Nicobar Islands
3082,-9223372036854775808,AP,3963,52,1465,Andhra Pradesh
3083,-9223372036854775808,AR,41,0,99,Arunachal Pradesh
3084,-9223372036854775808,AS,1117,2,1060,Assam
3085,-9223372036854775808,BR,1667,4,774,Bihar
3086,-9223372036854775808,CH,31,1,5,Chandigarh
3087,-9223372036854775808,CT,243,0,146,Chhattisgarh
3088,-9223372036854775808,DD,0,0,0,Daman and Diu
3089,-9223372036854775808,DL,1475,26,1973,Delhi
3090,-9223372036854775808,DN,45,0,22,Dadra and Nagar Haveli and Daman and Diu
3091,-9223372036854775808,GA,180,0,92,Goa
3092,-9223372036854775808,GJ,960,19,1062,Gujarat
3093,-9223372036854775808,HP,40,0,19,Himachal Pradesh
3094,-9223372036854775808,HR,750,17,600,Haryana
3095,-9223372036854775808,JH,289,2,79,Jharkhand
3096,-9223372036854775808,JK,441,5,607,Jammu and Kashmir
3097,-9223372036854775808,KA,4537,93,1018,Karnataka
3098,-9223372036854775808,KL,593,2,204,Kerala
3099,-9223372036854775808,LA,8,0,12,Ladakh
3100,-9223372036854775808,LD,0,0,0,Lakshadweep
3101,-9223372036854775808,MH,8348,144,5306,Maharashtra
3102,-9223372036854775808,ML,15,0,0,Meghalaya
3103,-9223372036854775808,MN,91,0,19,Manipur
3104,-9223372036854775808,MP,681,8,350,Madhya Pradesh
3105,-9223372036854775808,MZ,2,0,7,Mizoram
3106,-9223372036854775808,NL,22,0,27,Nagaland
3107,-9223372036854775808,OR,591,3,607,Odisha
3108,-9223372036854775808,PB,350,7,81,Punjab
3109,-9223372036854775808,PY,58,3,48,Puducherry
3110,-9223372036854775808,RJ,711,7,518,Rajasthan
3111,-9223372036854775808,SK,19,0,2,Sikkim
3112,-9223372036854775808,TG,1284,6,1902,Telangana
3113,-9223372036854775808,TN,4807,88,3049,Tamil Nadu
3114,-9223372036854775808,TR,171,2,51,Tripura
3115,-9223372036854775808,TT,37411,543,23583,Total
3116,-9223372036854775808,UN,-368,0,0,State Unassigned
3117,-9223372036854775808,UP,1873,24,1030,Uttar Pradesh
